H,a,b,실제비관,위약비관,차비관,실제낙관,위약낙관,차낙관
72,2.0,1.0,-0.704881289505756,-0.406762071234408,-0.298119218271348,0.569945500332582,0.19158659604311723,0.3783589042894647
72,2.0,2.0,-0.8663171634629075,-0.44114564703671794,-0.4251715164261896,0.1313733677149265,-0.04989205616694701,0.1812654238818735
72,2.0,3.0,-0.8734288944023242,-0.4264115831586727,-0.44701731124365146,0.0734533226877491,-0.06592375959339676,0.13937708228114587
72,2.0,5.0,-1.267471496020278,-0.3913885777571133,-0.8760829182631646,-0.2328294636877116,0.020542002891119262,-0.25337146657883086
72,3.0,1.0,-0.6519942227618766,-0.30925751149749464,-0.34273671126438193,0.9738718280464362,0.3962132657934625,0.5776585622529737
72,3.0,2.0,-0.8158498864754018,-0.289218356527229,-0.5266315299481727,0.29269514816663605,0.07230886351839304,0.220386284648243
72,3.0,3.0,-0.7115336620816052,-0.24960767490557348,-0.4619259871760317,0.20301599149807595,0.02459383510539982,0.17842215639267614
72,3.0,5.0,-0.990324740064152,-0.1295778847343157,-0.8607468553298363,-0.14044021350525587,0.13075894951718883,-0.27119916302244473
72,5.0,1.0,-0.49822209540730805,-0.1619093266221436,-0.3363127687851645,1.8158656644079452,0.8135360476529059,1.0023296167550393
72,5.0,2.0,-0.6103929798682863,-0.06190246577754785,-0.5484905140907385,0.7475746875682033,0.33911007515216474,0.4084646124160386
72,5.0,3.0,-0.4443067863751876,0.032389315263778806,-0.4766961016389664,0.5349079942252726,0.27683465376657457,0.258073340458698
72,5.0,5.0,-0.7314478568657296,0.22598218429873826,-0.9574300411644678,-0.08479658665787561,0.399495487311486,-0.4842920739693616
