H,a,b,n,목표,손절,미도달,불명,비관,낙관,하한3d,상한3d,하한1d,하한7d
48,3.0,1.0,432,16.203703703703702,42.824074074074076,0.4629629629629629,40.50925925925926,-0.6449589832037007,0.9754113871666683,-0.8740842660872252,-0.39439445657004435,-0.828326816775318,-0.8630252100840397
48,3.0,2.0,432,29.398148148148145,46.52777777777778,2.083333333333333,21.99074074074074,-0.7653960127935909,0.3341410242434511,-1.2079242543578457,-0.33254141886912697,-1.0554158947759142,-1.0354092087140565
48,3.0,3.0,432,41.2037037037037,38.657407407407405,5.092592592592593,15.046296296296296,-0.6642553792628201,0.2385223985149612,-1.1253664368590683,-0.23920297483832645,-1.0707142641056937,-1.0327678851092859
48,3.0,5.0,432,47.68518518518518,28.240740740740737,13.657407407407407,10.416666666666668,-0.9511869398762962,-0.11785360654295894,-1.654555297099585,-0.4316074970922614,-1.5262893098945574,-1.5980159902201134
48,5.0,1.0,432,12.962962962962962,47.4537037037037,1.1574074074074074,38.425925925925924,-0.4885211949949576,1.817034360560609,-0.8536606539523731,-0.025762449863089947,-0.7398382099519603,-0.7236427652903312
48,5.0,2.0,432,23.37962962962963,53.47222222222222,3.935185185185185,19.212962962962962,-0.5357061808204404,0.8092012265869651,-1.1400003749629952,0.1931333930945597,-0.9352331867105309,-0.8420626533921378
48,5.0,3.0,432,32.407407407407405,46.2962962962963,9.25925925925926,12.037037037037036,-0.38534201551135105,0.5776209474516095,-1.020321362069051,0.3215652048079472,-0.909217567649623,-0.8102057857367628
48,5.0,5.0,432,36.80555555555556,36.342592592592595,20.60185185185185,6.25,-0.6869864583656046,-0.06198645836560317,-1.6127806636149156,0.237751215189389,-1.4026327350024161,-1.2793629461635598
72,0.5,1.0,433,19.168591224018474,20.092378752886837,0.0,60.739030023094685,-1.0124711316397297,-0.10138568129330106,-1.100927347802354,-0.9177028496223467,-1.103615921439453,-1.0797576646776677
72,0.5,2.0,433,36.25866050808314,14.087759815242496,0.0,49.65357967667436,-1.394170750673722,-0.1528312587568598,-1.5902629875458216,-1.2308744197908126,-1.569408413213987,-1.5719465077075694
72,0.5,3.0,433,41.801385681293304,12.009237875288683,0.0,46.18937644341801,-1.836951501154727,-0.22032332563510246,-2.1835378951550752,-1.5744169864533695,-2.1015293331104674,-2.125157852053527
72,0.5,5.0,433,48.03695150115473,8.314087759815243,0.23094688221709006,43.418013856812934,-2.651234804380102,-0.2632440422554045,-3.271005854410507,-2.1745139693405315,-3.1330536671165414,-3.213553013180085
72,1.0,1.0,433,18.937644341801384,30.2540415704388,0.0,50.80831408775982,-0.9212471131639787,0.09491916859122378,-1.0401787231632067,-0.8154322320593164,-1.0433554302250112,-0.9900000000000067
72,1.0,2.0,433,36.95150115473441,27.48267898383372,0.0,35.56581986143187,-1.1920922287337727,-0.12511763289080996,-1.4075295150816949,-1.0167135905583935,-1.397615632837543,-1.430440474149929
72,1.0,3.0,433,46.65127020785219,22.170900692840647,0.9237875288683602,30.2540415704388,-1.419392636092306,-0.20923097327475207,-1.7878858292919193,-1.1734705703759254,-1.7520737504710384,-1.7922296448066046
72,1.0,5.0,433,54.27251732101617,16.166281755196305,2.5404157043879905,27.02078521939954,-1.9515199946240367,-0.33027288146006945,-2.6392959351555803,-1.44965949231208,-2.5531617457547147,-2.6249100804288514
72,2.0,1.0,433,19.861431870669747,37.644341801385686,0.0,42.494226327944574,-0.704881289505756,0.569945500332582,-0.951127444190603,-0.48616801307154506,-0.9122673156435724,-0.9716328965516586
72,2.0,2.0,433,35.79676674364896,39.03002309468822,0.23094688221709006,24.94226327944573,-0.8663171634629075,0.1313733677149265,-1.3042576743520107,-0.490713212334941,-1.187637462546556,-1.2722917390555317
72,2.0,3.0,433,48.03695150115473,31.639722863741337,1.3856812933025404,18.937644341801384,-0.8734288944023242,0.0734533226877491,-1.3941971558869548,-0.4682071111902485,-1.3605743092837377,-1.4203444025704781
72,2.0,5.0,433,54.96535796766744,24.71131639722864,5.542725173210162,14.780600461893764,-1.267471496020278,-0.2328294636877116,-1.980485053768277,-0.725775200274098,-1.9145565746560367,-2.0687748999737785
72,3.0,1.0,433,16.166281755196305,42.956120092378754,0.23094688221709006,40.64665127020785,-0.6519942227618766,0.9738718280464362,-0.8716726864357736,-0.402851958326723,-0.8393210794563253,-0.882619271375251
72,3.0,2.0,433,29.330254041570434,47.57505773672055,0.9237875288683602,22.170900692840647,-0.8158498864754018,0.29269514816663605,-1.2701992207698767,-0.3503399302262835,-1.1341721929834545,-1.057068488581691
72,3.0,3.0,433,41.801385681293304,39.260969976905315,3.695150115473441,15.242494226327944,-0.7115336620816052,0.20301599149807595,-1.176115426156501,-0.24322286434590293,-1.1631010336896639,-1.0754443292970253
72,3.0,5.0,433,49.65357967667436,30.2540415704388,9.468822170900692,10.623556581986143,-0.990324740064152,-0.14044021350525587,-1.6547569131058886,-0.40122913293688556,-1.5702171178820798,-1.6147546562931197
72,5.0,1.0,433,13.163972286374134,47.80600461893764,0.4618937644341801,38.56812933025404,-0.49822209540730805,1.8158656644079452,-0.8577821271241575,-0.03579969955463165,-0.755692829083767,-0.7253991765527289
72,5.0,2.0,433,23.556581986143186,55.42725173210161,1.6166281755196306,19.399538106235568,-0.6103929798682863,0.7475746875682033,-1.2421025448305216,0.15842786550466914,-1.0455021109427134,-0.8749538871059994
72,5.0,3.0,433,33.48729792147806,47.34411085450346,6.928406466512701,12.240184757505773,-0.4443067863751876,0.5349079942252726,-1.0752307192232238,0.34876272424618426,-0.98003089700942,-0.8707694355239068
72,5.0,5.0,433,39.4919168591224,39.4919168591224,14.549653579676674,6.466512702078522,-0.7314478568657296,-0.08479658665787561,-1.6282386284651746,0.27855713688604494,-1.4393131071683387,-1.3237845469751572
