runId,전략,코인페어,타임프레임,전체시작일,전체종료일,학습기간종료일,테스트기간종료일,초기자금,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,총거래,승리거래,패배거래,평균수익(%),평균손실(%),생성일시
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,2026-03-30 23:00:00,1000000.00,W4_OUT,6.96,50.0,-1.49,2.6947,15.8605,81.1064,2,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,13.51,21.74,-15.52,0.3661,0.9201,0.2362,23,,,,,2026-04-24 10:05:14
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,,1000000.00,W0_IN,4.95,18.75,-9.46,0.6655,2.2514,1.1071,16,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,2022-11-06 18:00:00,1000000.00,W0_OUT,-14.3,0.0,-14.3,-6.8133,-6.4671,-4.3899,11,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,,1000000.00,W1_IN,-1.44,9.09,-10.18,-0.0795,-0.2195,-0.252,22,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,2023-09-12 22:00:00,1000000.00,W1_OUT,-2.45,0.0,-2.45,-3.6942,-3.649,-4.4271,3,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 23:00:00,,1000000.00,W2_IN,-6.05,10.0,-10.1,-0.5682,-1.0415,-1.1959,20,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 23:00:00,2024-07-19 00:00:00,1000000.00,W2_OUT,-0.3,7.69,-7.09,0.007,0.0217,-0.2075,13,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 23:00:00,,1000000.00,W3_IN,39.68,25.0,-8.27,2.4536,15.9834,18.5888,16,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 23:00:00,2025-05-25 00:00:00,1000000.00,W3_OUT,18.12,25.0,-8.65,1.5285,9.5657,15.3321,12,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,,1000000.00,W4_IN,2.86,16.67,-9.72,0.4244,1.2754,0.706,18,,,,,2026-04-24 10:03:41
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,2026-03-30 23:00:00,1000000.00,W4_OUT,7.25,50.0,-0.58,2.9751,40.2941,201.34,2,,,,,2026-04-24 10:03:41
