runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
318,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:17:05
317,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-CHZ,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-23.7700,13.51,-26.8500,-0.5140,-0.9153,-0.2605,4.0051,-0.8853,37,5,32,7.9300,-1.9800,10,2026-04-24 11:16:49
316,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:16:39
315,COMPOSITE_BREAKOUT,KRW-SOL,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:16:16
314,COMPOSITE_BREAKOUT,KRW-BTC,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,106.7100,22.78,-8.8800,1.2356,5.0876,2.3109,8.4068,12.0169,79,18,61,9.9200,-1.1800,9,2026-04-24 11:16:14
313,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-BTC,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,13.8000,12.17,-14.9200,0.3007,1.0270,0.2263,8.3647,0.9249,115,14,101,7.1100,-0.8500,20,2026-04-24 11:15:40
312,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ETH,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:15:34
311,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BTC,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,5.6800,11.11,-11.9800,0.1716,0.5640,0.1194,8.6203,0.4741,99,11,88,6.8100,-0.7900,16,2026-04-24 11:15:18
310,COMPOSITE_MOMENTUM,KRW-ETH,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:15:03
309,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-BTC,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,106.7100,22.78,-8.8800,1.2356,5.0876,2.3109,8.4068,12.0169,79,18,61,9.9200,-1.1800,9,2026-04-24 11:14:53
308,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-ETH,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:14:32
307,COMPOSITE_BREAKOUT,KRW-BLUR,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-17.2300,13.79,-20.8400,-0.6842,-1.0646,-0.3982,3.8798,-0.8268,29,4,25,7.1000,-1.8300,12,2026-04-24 11:14:19
306,COMPOSITE_BREAKOUT,KRW-ETH,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:14:03
305,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-BLUR,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,10.5200,15.00,-25.9300,0.2851,0.6445,0.1601,6.1618,0.4057,80,12,68,10.6600,-1.7300,18,2026-04-24 11:13:59
304,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BLUR,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,23.2400,17.86,-23.1000,0.5055,1.2655,0.3841,5.8289,1.0061,56,10,46,10.9000,-1.8700,14,2026-04-24 11:13:48
303,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-BLUR,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-17.2300,13.79,-20.8400,-0.6842,-1.0646,-0.3982,3.8798,-0.8268,29,4,25,7.1000,-1.8300,12,2026-04-24 11:13:36
302,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BTC,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:13:19
301,COMPOSITE_BREAKOUT,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-7.2600,33.33,-14.6400,-1.5749,-2.0098,-4.2742,1.0868,-0.4959,3,1,2,8.6400,-7.9500,2,2026-04-24 11:13:17
300,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-6.6800,0.00,-6.6800,-8.6885,-8.1369,-12.4986,0.0000,-1.0000,3,0,3,0.0000,-2.2300,3,2026-04-24 11:13:16
299,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,10.1600,20.00,-6.6800,1.9169,8.8899,30.1728,9.5934,1.5210,5,1,4,17.4600,-1.8200,3,2026-04-24 11:13:15
298,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-7.2600,33.33,-14.6400,-1.5749,-2.0098,-4.2742,1.0868,-0.4959,3,1,2,8.6400,-7.9500,2,2026-04-24 11:13:14
297,COMPOSITE_BREAKOUT,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-19.6600,10.00,-20.8700,-2.9339,-3.3832,-2.0615,2.9414,-0.9420,10,1,9,9.5300,-3.2400,7,2026-04-24 11:13:13
296,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-6.2200,9.09,-21.5000,-0.3076,-0.7403,-0.6525,7.5720,-0.2893,11,1,10,19.4600,-2.5700,10,2026-04-24 11:13:08
295,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-20.0800,0.00,-20.0800,-3.9469,-3.8773,-2.0731,0.0000,-1.0000,9,0,9,0.0000,-2.2300,9,2026-04-24 11:13:06
294,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-19.6600,10.00,-20.8700,-2.9339,-3.3832,-2.0615,2.9414,-0.9420,10,1,9,9.5300,-3.2400,7,2026-04-24 11:13:04
293,COMPOSITE_BREAKOUT,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,86.9800,23.91,-14.1400,0.9601,4.4687,1.2751,8.5203,6.1513,46,11,35,12.6100,-1.4800,11,2026-04-24 11:12:59
292,COMPOSITE_MOMENTUM,KRW-BTC,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:12:50
291,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,12.5200,11.81,-23.2100,0.2543,0.7059,0.1305,8.1583,0.5394,127,15,112,9.7900,-1.2000,26,2026-04-24 11:12:27
290,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-BTC,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:12:21
289,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,5.8900,12.04,-23.9100,0.1670,0.4407,0.0610,7.7345,0.2463,108,13,95,8.7400,-1.1300,26,2026-04-24 11:12:09
288,COMPOSITE_BREAKOUT,KRW-BTC,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:11:55
287,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,86.9800,23.91,-14.1400,0.9601,4.4687,1.2751,8.5203,6.1513,46,11,35,12.6100,-1.4800,11,2026-04-24 11:11:50
286,COMPOSITE_BREAKOUT,KRW-AAVE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-24.5200,16.36,-37.4200,-0.3820,-0.5798,-0.1956,3.5486,-0.6553,55,9,46,6.2100,-1.7500,21,2026-04-24 11:11:18
