분석,signal,h,n_coins,incl,excl,n_obs,abs,abs_lo,abs_hi,diff,diff_lo,diff_hi,p_abs,p_diff,p_comb,invalid,verdict,p_holm,holm_sig
블록24,S1,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,12745,-0.2863558372493754,-0.4080254726332974,-0.1712889901174509,-0.04497068699946856,-0.12368193752678217,0.029318146797837952,1.0,0.8755622188905547,1.0,0.0,탈락,1.0,False
블록24,S1,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,9410,-0.2149167953566624,-0.40383436826603325,-0.03303200938835572,-0.02803689401325497,-0.14741740817613014,0.08917460389824995,0.9890054972513743,0.657671164417791,0.9890054972513743,0.0,탈락,1.0,False
블록24,S2,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,23330,-0.19913340205311977,-0.2518278518412988,-0.151287414567395,0.0804881762601267,0.03932589973870004,0.12007513170644026,1.0,0.0004997501249375312,1.0,0.0,탈락,1.0,False
블록24,S2,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,9262,-0.05836643475911255,-0.19216844331016839,0.0649663101841991,0.18301871549079432,0.07782936034048296,0.2838479746886362,0.8065967016491754,0.0004997501249375312,0.8065967016491754,0.0,탈락,1.0,False
블록24,S2,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,5571,0.09364474817889588,-0.11850796598915567,0.3287306252007804,0.28052464952230327,0.11062847432272489,0.45966643435324367,0.19640179910044978,0.0014992503748125937,0.19640179910044978,0.0,탈락,1.0,False
블록24,S3,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,4626,-0.15595268149226849,-0.3496819347559718,0.09008707640468658,0.12366889682097802,-0.06825004018980821,0.3641605261875041,0.9395302348825587,0.14742628685657172,0.9395302348825587,0.0,탈락,1.0,False
블록24,S3,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,3444,-0.1917591509449686,-0.5312258650320333,0.199573920616546,0.04962599930493828,-0.267824423005334,0.4272250269092726,0.8510744627686156,0.38580709645177413,0.8510744627686156,0.0,탈락,1.0,False
블록24,S3,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,2765,-0.1565107851341813,-0.5950855719769492,0.38049582151564054,0.03036911620922614,-0.3748049189903417,0.5329236026004907,0.7501249375312344,0.4497751124437781,0.7501249375312344,0.0,탈락,1.0,False
블록24,S4,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,10677,-0.3153690136380327,-0.3878156274475709,-0.2405633332247516,-0.035747435324786164,-0.0983179497516888,0.028205764167836336,1.0,0.8705647176411794,1.0,0.0,탈락,1.0,False
블록24,S4,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,8365,-0.3672838820978211,-0.5140061127949346,-0.2285708114550584,-0.12589873184791425,-0.23194215343188676,-0.018173127973215835,1.0,0.9890054972513743,1.0,0.0,탈락,1.0,False
블록24,S4,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,6687,-0.18767416727441033,-0.39110719926999804,0.027853421337236256,-0.0007942659310029085,-0.16034048574676896,0.16304387270789206,0.9650174912543729,0.5107446276861569,0.9650174912543729,0.0,탈락,1.0,False
블록24,S5,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,13290,-0.28172250629112333,-0.35472448532860396,-0.2117058707378518,-0.002100927977876833,-0.06100875552289378,0.05764890962406109,1.0,0.527736131934033,1.0,0.0,탈락,1.0,False
블록24,S5,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,10221,-0.17739774325779312,-0.31193042334330995,-0.04850213110307414,0.06398740699211375,-0.023239430417644154,0.1548115045063799,0.9960019990004998,0.08095952023988005,0.9960019990004998,0.0,탈락,1.0,False
블록24,S5,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,7895,-0.06969728766125721,-0.2859498165511792,0.14210009625604156,0.11718261368215017,-0.02347774708731849,0.2540526029347186,0.7436281859070465,0.047476261869065464,0.7436281859070465,0.0,탈락,1.0,False
블록168,S1,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,15109,-0.33589056342037205,-0.39384000846259304,-0.275084109060056,-0.056268985107125566,-0.09781175788041327,-0.010046210618103957,1.0,0.9975012493753124,1.0,0.0,탈락,1.0,False
블록168,S1,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,12745,-0.2863558372493754,-0.4175552607041239,-0.15141763999279345,-0.04497068699946856,-0.11934425938096269,0.03169708588091031,1.0,0.881559220389805,1.0,0.0,탈락,1.0,False
블록168,S1,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,9410,-0.2149167953566624,-0.44941680640404463,0.030608364760077736,-0.02803689401325497,-0.13276003300361774,0.07666444666794012,0.9585207396301849,0.679160419790105,0.9585207396301849,0.0,탈락,1.0,False
블록168,S2,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,23330,-0.19913340205311977,-0.25910091265243457,-0.14087952282467167,0.0804881762601267,0.03852997012488188,0.12165104057255398,1.0,0.0009995002498750624,1.0,0.0,탈락,1.0,False
블록168,S2,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,9262,-0.05836643475911255,-0.22382682275018592,0.10170865084725621,0.18301871549079432,0.07257177511689565,0.2877083340209722,0.7571214392803598,0.0014992503748125937,0.7571214392803598,0.0,탈락,1.0,False
블록168,S2,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,5571,0.09364474817889588,-0.2027460932194464,0.3943898083708718,0.28052464952230327,0.09466445263938704,0.46671461163392386,0.26286856571714146,0.001999000499750125,0.26286856571714146,0.0,탈락,1.0,False
블록168,S3,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,4626,-0.15595268149226849,-0.34836891066626385,0.10255430270451259,0.12366889682097802,-0.05879380183139648,0.37092822720265434,0.9325337331334332,0.1409295352323838,0.9325337331334332,0.0,탈락,1.0,False
